titolo,descrizione,img,tag,categoria,territorio,URL,fontedati,webmap,collaborazione,data,mese,anno
"Palermo, popolazione residente per cittadinanza, UPL , Quartiere e Circoscrizione - 2020 Mappa a densità di punti","Gli stranieri residenti a Palermo nel 2020 sono 25.400 e rappresentano 130 Nazionalità provenienti da 5 Continenti, oggi sono il 3,89% della popolazione totale (653.570) e lo 0.7% del totale nazionale, dato che colloca Palermo in decima posizione tra le 14 Città metropolitane per numero di residenti stranieri regolari.",legend/thumbs_index/stranieri_residenti_subregions_dot_2020_01.jpg,"Popolazione straniera,Stranieri,Palermo,Circoscrizioni,UPL",Statistica,Palermo,stranieri_residenti_subregions_dot_2020.html,Comune di Palermo,,@gbvitrano,17-02-2022,2022-February,2022
Misilmeri | Carta Tecnica Regionale (CTR) 1:10000 e 1:2000,Carta Tecnica Regionale in scala 1:10.000 edizione 2012-2013 della regione siciliana. Shapefile generati a partire dai file ASCII RSI e RSE. Sistema di coordinate ETRS89 Fuso 33 Nord (EPSG: 25833),legend/thumbs_index/ctr10k_misilmeri.jpg,"Misilmeri, Carta Tecnica Regionale,CTR,1:10000, 1:2000",Cartografia,Misilmeri,index_ctr10k_misilmeri.html#13/38.0203/13.4327,Regione Sicilia,,@gbvitrano,29-10-2021,2021-October,2021
Misilmeri | Piano regolatore generale  - Vigente al 2021,Misilmeri | Piano regolatore generale  - Vigente al 2021,legend/thumbs_index/prg_misilmeri_01.jpg,"Piano Regolatore Generale,Misilmeri,regolamento edilizio,norme tecniche di attuazione",Strumenti Urbanistici,Misilmeri,index_prg_misilmeri.html#15/38.0307/13.4446,Comune di Misilmeri,,@gbvitrano,27-10-2021,2021-October,2021
Misilmeri | Patrimonio immobiliare 2021,Elenco Patrimonio immobiliare anni 2019/2020- Fino a maggio 2021,legend/thumbs_index/misilmeri.jpg,"Misilmeri,Patrimonio immobiliare,Immobili Comunali,Immobili confiscati,Scuole,Terreni",Strumenti Urbanistici,Misilmeri,http://u.osmfr.org/m/672587/,Comune di Misilmeri,,@gbvitrano,25-10-2021,2021-October,2021
Comuni Italiani | 2021,"Mappa dei comuni Italiani, è possibile filtrare i Comuni in base a diversi parametri.
- Regione - Provincia - Sigla Provincia - Comune - Codice Istat -C.a.p. - Codice Fiscale",legend/thumbs_index/comuni_italiani.jpg,"Comuni Italiani,Stemma,Pec,Cap,Codice Fiscale,csv,opendata,browser,Italia,Comuni",Cultura,Italia,comuni_italiani.html,"ISTAT,indicepa.gov.it,araldicacivica.it,Wikipedia Italia",,"@gbvitrano,@DennisAngemi,@gaba1123",29-09-2021,2021-September,2021
InformaCOVID | Mappa dei comuni che hanno aderito,"InformaCOVID. è rivolto principalmente ai sindaci delle città italiane, ma non solo. Associazioni, scuole, testate giornalistiche, praticamente chiunque sia in possesso di dati COVID19, provenienti da fonti ufficiali ed autorevoli, può utilizzare la piattaforma per dare comunicazione alla cittadinanza. A seguire l'elenco completo dei comuni che hanno aderito a InformaCOVID.",legend/thumbs_index/informacovid.png,"Emergenze,Covid-19,Pandemia,Vaccino,Centri vaccinali,Vaccini","Emergenze,Covid-19,Pandemia,Vaccino,Centri vaccinali",Italia,informacovid.html,Comuni Siciliani,,"@gbvitrano,@DennisAngemi,@gaba1123",23-09-2021,2021-September,2021
Sicilia | ADESIONI CAMPAGNA VACCINALE - Strutture e Farmacie| 2021,"Strutture sanitarie autorizzate ad eseguire il tampone rapido anti-Covid valido ai fini dell’emissione del certificato a prezzi calmierati. Agg. 30 settembre 2021 e Farmacie in provincia di Palermo dove poter fasre il vaccino
Coronavirus, ecco dove poter ricevere la dose Pfizer: l'elenco delle farmacie è stato aggiornato e diffuso dall'Asp",legend/thumbs_index/farm_vaccino_01.jpg,"Emergenze,Covid-19,Pandemia,Vaccino,Centri vaccinali,Vaccini","Emergenze,Covid-19,Pandemia,Vaccino,Centri vaccinali",Sicilia,farmacie_vacc_anticovid.html,Ministero della Salute,,"@gbvitrano,@totofiandaca",27-08-2021,2021-August,2021
AMAP | AVVISO AGLI UTENTI DELLA CITTÀ DI PALERMO SERVITI DAL SERBATOIO MONTE GRIFONE,"In riferimento alla nota n.001-11759 del 05/08/2021, si ribadisce che:
“fermo restando l’uso non potabile dell’acqua, la stessa non è da ritenersi idonea per l’incorporazione negli alimenti quando l’acqua ne rappresenti l’ingrediente principale (minestre, bevande), soprattutto di quelli destinati a neonati o lattanti, mentre ne è consentito l’utilizzo per il lavaggio di verdura, ortaggi e frutta, per l’igiene personale e della casa”.",legend/thumbs_index/seb_monte_grifone.jpg,"Palermo,Ambiente,SERBATOIO MONTE GRIFONE,Amap,Avviso,",Ambiente,Palermo,seb_amap.html,AMAP S.p.A.,,@gbvitrano,08-08-2021,2021-August,2021
Sicilia | Valutazioni Ambientali - Mappa progetti,Sicilia | Valutazioni Ambientali - Mappa progetti,legend/thumbs_index/valutazioni_ambientali.jpg,"Urbanistica,Palermo,Sicilia,Ambiente,Progetti,Rifiuti,ATTIVITÀ PRODUTTIVE,CAVE,OPERE CIVILI E MARITTIME,VAS,VINCA,",Ambiente,Sicilia,valutazioni_ambientali.html,Regione Sicilia,,@gbvitrano,07-08-2021,2021-August,2021
DPC-Aggregati-Strutturali-ITG | Palermo,"La Presidenza del Consiglio dei Ministri – Dipartimento della Protezione Civile ha pubblicato su Github il dataset nazionale degli aggregati strutturali, una raccolta dati sugli aggregati edilizi del nostro Paese.",legend/thumbs_index/aggregati_strutturali_pa.jpg,"Urbanistica,aggregati strutturali, poligoni,palermo",Strumenti Urbanistici,Palermo,aggregati_strutturali_pa.html,Dipartimento della Protezione Civile,,"@totofiandaca,@gbvitrano",13-05-2021,2021-May,2021
