titolo,descrizione,img,tag,categoria,territorio,URL,fontedati,webmap,collaborazione,data,mese,anno
Mappa del ferro - Palermo [Maggio 2017],"Nella mappa sono riportate le infrastrutture su rotaia del trasporto pubblico di massa  in esercizio, in corso di realizzazione e in fase di progettazione a Palermo",legend/thumbs_index/mappa_ferro.jpg,"Tram,Amat,Parcheggi,Pubblici,Interscambio,Metrò,Bike,Sharing,GTFS,Orari Bus,Orari Tram,GTFS",Mobilità,Palermo,mappa_ferro.html,Comune di Palermo,,"@cirospat,@gbvitrano",03-05-2017,2017-May,2017
Strumenti urbanistici di attuazione,Variente Generle l P.R.G. - Zonizzazione e vincoli sul Territorio adeguati ai D. Dir 558 e 124/DRU/02 di approvazione - Luglio 2003 - Presa D'atto Delibera 7/2004 e Piano Particolareggiato Esecutivo del centro storico,legend/thumbs_index/prg.jpg,"Variante Generale,PRG,PPE,Centro Storico,Palermo,Controllo del territorio,Governo del territorio,Zonizzazione,Pianp Particolareggiato",Strumenti Urbanistici,Palermo,index_prg.html#14/38.1185/13.3595,Comune di Palermo,,"@aborruso,@gbvitrano",01-05-2017,2017-May,2017
Cambia-menti 2025,Cambia-menti…#Palermo…Variante Generale PRG 2004 vs Schema di massima del PRG 2025,legend/thumbs_index/cambia-menti.jpg,"Variante Generale,PRG,PPE,Centro Storico,Palermo,Controllo del territorio,Governo del territorio,Zonizzazione,Pianp Particolareggiato",Strumenti Urbanistici,Palermo,cambia-menti.html,Comune di Palermo,,"@cirospat,@gbvitrano",22-04-2017,2017-April,2017
Studio Vulnerabilità sismica degli edifici residenziali di Palermo - Mappa 3D,E’ una mappatura di base della vulnerabilità sismica degli edifici residenziali di due aree campione della città. La vulnerabilità sismica rappresenta una misura della maggiore o minore capacità degli edifici di resistere ad azioni sismiche (terremoti di prefissata entità) ,legend/thumbs_index/vulnerabilità_sismica_3D.jpg,"Territorio,Sisma,Vulnerabilità,Edifici",Modellazione 3D,Palermo,vulnerabilità_sismica_3D.html,"Comune di Palermo,ISTAT,Regione Sicilia",,"@aborruso,@carbone_letizia,@cirospat,@gbvitrano",20-04-2017,2017-April,2017
Mappa del pendolarismo da e per Palermo – Istat 2011,Mappa del pendolarismo da e per Palermo – Istat 2011,legend/thumbs_index/pendolarismo.jpg,"Mobilità,Pendolarismo,Bus,Mezzo proprio,Lavoro,Studio,Istat",Mobilità,"Sicilia,Palermo",pendolarismo.html,ISTAT,,"@cirospat,@gbvitrano",05-04-2017,2017-April,2017
Servizio taxi sharing - Palermo,Servizio taxi sharing - Palermo,legend/thumbs_index/taxi_sharing.jpg,"Ambiente,Mobilità,Taxi,Sharing",Mobilità,Palermo,taxi_sharing.html,Comune di Palermo,,"@cirospat,@gbvitrano",05-04-2017,2017-April,2017
Studio sulla vulnerabilità sismica degli edifici residenziali di Palermo,E’ una mappatura di base della vulnerabilità sismica degli edifici residenziali di due aree campione della città. La vulnerabilità sismica rappresenta una misura della maggiore o minore capacità degli edifici di resistere ad azioni sismiche (terremoti di prefissata entità) ,legend/thumbs_index/vulnerabilità_sismica.jpg,"Territorio,Sisma,Vulnerabilità,Edifici",Strumenti Urbanistici,Palermo,vulnerabilità_sismica.html,"Comune di Palermo,ISTAT",,"@aborruso,@carbone_letizia,@cirospat,@gbvitrano",04-04-2017,2017-April,2017
Mappa rimozione di cemento amianto,Rielaborazione rimozione di cemento amianto negli spazi pubblici comunali dal 2010 al 2016,legend/thumbs_index/amianto.jpg,"Ambiente,Decoro Urbano","Ambiente,Rifiuti,Riciclo",Palermo,2016_rim_ami.html#12/38.1377/13.3477,Comune di Palermo,,"@cirospat,@gbvitrano",01-04-2017,2017-April,2017
Pericolosità sismica del Territorio d'Italia e principali dighe italiane,Pericolosità sismica del Territorio d'Italia e principali dighe italiane,legend/thumbs_index/dighe_ciro.jpg,"Ambiente,Sisma,Prevenzione,Dighe",Ambiente,Italia,dighe_ciro.html,"INGV,Registro italiano delle dighe",,"@aborruso,@cirospat,@gbvitrano",13-03-2017,2017-March,2017
Italia – Qualità delle acque di balneazione nel 2016,"Oltre l’85% dei siti di balneazione monitorati in tutta Europa nel 2016 soddisfa i requisiti più rigorosi per fregiarsi della qualifica di “eccellente”, il che significa che sono per lo più esenti da inquinanti pericolosi per la salute umana e l’ambiente, secondo la relazione annuale sulla qualità delle acque di balneazione pubblicata oggi",legend/thumbs_index/balneazione_2016.jpg,"Ambiente,Mare,Spiagge",Ambiente,Italia,balneazione_2016.html,EEA,,@gbvitrano,06-03-2017,2017-March,2017
Risorse Naturali Palermo,Palermo: tipologia delle Risorse Naturali,legend/thumbs_index/risorse_naturali.jpg,"Natura,Risorse","Ambiente,Strumenti Urbanistici",Palermo,risorse_naturali.html,Comune di Palermo,,@cirospat,05-03-2017,2017-March,2017
Palermo Differenzia 2,Pianificazione Particolareggiata all'interno dell’Ambito Ottimale “Palermo Area Metropolitana” della raccolta differenziata,legend/thumbs_index/differenzia_2.jpg,"Rifiuti,","Ambiente,Rifiuti,Riciclo",Palermo,differenzia_2.html,Comune di Palermo,,@cirospat,04-03-2017,2017-March,2017
Segnalazioni incidenti  real time del Comando Polizia Municipale di Palermo da Novembre 2016,Segnalazioni incidenti  real time del Comando Polizia Municipale di Palermo da Novembre 2016,legend/thumbs_index/incidenti_real_time.jpg,"Mobilità,Incidenti,RealTime",Mobilità,Palermo,incidenti_real_time.html,Comune di Palermo,,"@aborruso,@cirospat,@gbvitrano",04-03-2017,2017-March,2017
Mappa dinamica - Realizzata da Guenter Richter,Mappa dinamica - Realizzata da Guenter Richter con il progetto IXMAPS,legend/thumbs_index/mappadinamica_16.jpg,"Palermo,Polizia Municipale,Incidenti,Sinistri",Mobilità,Palermo,https://projects.ixmaps.com.s3-website-eu-west-1.amazonaws.com/Palermo_Incidenti/app/Palermo_Incidenti/index_2016_full.html,Comune di Palermo,,@grichter,03-03-2017,2017-March,2017
"Sezione censuarie - ISTAT 2011, Unità di primo livello (UPL), Quartieri e Circoscrizioni di Palermo","Nella mappa è rappresentata la suddivisione del territorio di Palermo, dalle sezione censuarie - ISTAT 2011, alle Unità di primo livello (UPL), dai Quartieri alle Circoscrizioni, estratti dal dataset ISTAT Basi territoriali e variabili censuarie - Censimento 2011
",legend/thumbs_index/circoscrizioni.jpg,"Territorio,Quartieri,Confine comunale",Strumenti Urbanistici,Palermo,circoscrizioni.html,ISTAT,,@gbvitrano,03-03-2017,2017-March,2017
Uffici della Motorizzazione e Officine Autorizzate alla revisione,Uffici della Motorizzazione e Officine Autorizzate alla revisione - Marzo 2017,legend/thumbs_index/motor_off_autor.jpg,"Mobilità,Motorizzazione,Officine autorizzate, Uffici Motorizzazione",Mobilità,Italia,motor_off_autor.html,MIT,,@gbvitrano,03-03-2017,2017-March,2017
Avvisi real time del Comando Polizia Municipale di Palermo,"Avvisi real time del Comando Polizia Municipale di Palermo su traffico, incidenti, manifestazioni, lavori in corso;",legend/thumbs_index/avvisi_real_time.jpg,"Mobilità,Incidenti,Manifestazioni,Avvisi,RealTime,Lavori in corso,",Mobilità,Palermo,avvisi_real_time.html,Comune di Palermo,,"@aborruso,@cirospat,@gbvitrano",03-03-2017,2017-March,2017
Sinistri stradali rilevati nel Territorio comunale di Palermo nell'anno 2016 - Leaflet,"Incidenti rilevati dalla Polizia Municipale di Palermo - Leaflet
(tot. incidenti 3577)",legend/thumbs_index/index_sinistri_2016.jpg,"Palermo,Polizia Municipale,Incidenti,Sinistri",Mobilità,Palermo,index_sinistri_2016.html,Comune di Palermo,,@gbvitrano,02-03-2017,2017-March,2017
Sinistri stradali rilevati nel Territorio comunale di Palermo nell'anno 2016 - Umap,Incidenti rilevati dalla Polizia Municipale di Palermo - Umap (tot. incidenti 3577),legend/thumbs_index/sinistri_16.jpg,"Palermo,Polizia Municipale,Incidenti,Sinistri,",Mobilità,Palermo,sinistri_16.html,Comune di Palermo,,@gbvitrano,02-03-2017,2017-March,2017
La Domenica Favorita,"5 Domeniche di apertura de ""La Domenica Favorita"":26 Marzo, 9 e 23 Aprile; 7 e 21 Maggio 2017 - Un iniziativa del Comitato ""La Domenica Favorita"" in collaborazione con il Comune di Palermo",legend/thumbs_index/favorita.jpg,"Cultura,Turismo,Palermo,Parco della Favorita,Bike,Sentieri,Percorsi,Aree sport, Area gioco,Edifici storici","Cultura,Turismo",Palermo,domenica_all_favorita.html,ladomenicafavorita.com,,"@cirospat,@gbvitrano",01-03-2017,2017-March,2017
Sicily Events,"Il riuso della Rassegna di eventi pubblicata a cura dell'Assessorato turismo, sport,spettacolo della Regione Siciliana  ",legend/thumbs_index/sicily_events.jpg,"Eventi Sicilia,Teatro,Musica,Spettacolo,Musei,Cinema,Musica,Sagra,Religione,Feste,Fotografia,",Cultura,Sicilia,sicily_events.html,Regione Sicilia,,@aborruso,05-02-2017,2017-February,2017
Le maggiori dighe d'Italia e aree di pericolosita sismica,Mappa per Magzine - progetto della Scuola di giornalismo dell’Università Cattolica del Sacro Cuore di Milano - Le grandi dighe e il rischio sismico in Italia a cura di Antonio Di Francesco e Ilaria Mauri,legend/thumbs_index/dighe_gianni.jpg,"Ambiente,Sisma,Prevenzione,Dighe",Ambiente,Italia,dighe_gianni.html,"IGNV,Registro italiano delle dighe,ProgettoDighe",,"@aborruso,@cirospat,@gbvitrano",02-02-2017,2017-February,2017
"Siccità, turnazione idrica per alcune zone della città di Palermo","Siccità, turnazione idrica per alcune zone della città di Palermo",legend/thumbs_index/siccita.jpg,"Ambiente,Turnazione idrica,Siccità",Ambiente,Palermo,siccita.html,"AMAP S.p.A.,Comune  di Palermo",,"@cirospat,@gbvitrano",08-01-2017,2017-January,2017
Monumenti abbandonati,Mappa dei monumenti abbandonati e dimenticati di Palermo. Iniziativa proposta dall'associazione Palermo Indignata,legend/thumbs_index/monumenti.jpg,"Cultura,Turismo,Palermo,Edifici storici","Cultura,Turismo",Palermo,monumenti_abbandonati.html,"gruppi facebook ""Palermo Indignata"" e ""I Monumenti Abbandonati di Palermo""",,"Giuseppe Mazzola,Associazione Palermo Indignata",01-01-2017,2017-January,2017
Trasporti pubblici Palermo,"Mappa con fermate, linee e orari dei Bus e Tram di Palermo - Amat spa. 
Map e turorial by @piersoft. GTFS Lic. CC-BY 
Db SpatiaLite e Query utili di @aborruso - OpenData Comune di Palermo",legend/thumbs_index/trasporti_pa.jpg,"Tram,Amat,Parcheggi,Pubblici,Interscambio,Metrò,Bike,Sharing,GTFS,Orari Bus,Orari Tram,GTFS",Mobilità,Palermo,trasporti_pa.html,Comune di Palermo,,"@aborruso,@piersoft,@gbvitrano",27-12-2016,2016-December,2016
#Openamat,#Openamat - Trasporti pubblici - GTFS Palermo validi fino al 31 Dic 2016,legend/thumbs_index/amat_pa.jpg,"ZTL,Palermo,Centro Storico,Parcheggi,Tram,Amat,Sportelli Amat,Parcheggi,Pubblici,Interscambio,Metrò,Bike,Sharing,GTFS",Mobilità,Palermo,amat_pa.html,Comune di Palermo,,"@aborruso,@piersoft,@cirospat,@gbvitrano",27-12-2016,2016-December,2016
Referendum Costituzionale 4 Dicembre 2016 – Dati Palermo,Referendum Costituzionale 4 Dicembre 2016 – Dati Palermo,legend/thumbs_index/referendum_costituzionale.jpg,"Elezioni Amministrative,Elezioni Politiche,Elezioni Regionli,Referendum",Elezioni Amministrative,Palermo,referendum_costituzionale.html,Comune di Palermo,,"@cirospat,@gbvitrano",04-12-2016,2016-December,2016
Seggi elettorali di Palermo accessibili ai portatori di disabilità motorie,"""Gli elettori con capacità di deambulazione gravemente ridotta possono esercitare il diritto di voto in  una  qualsiasi sezione elettorale del Comune appositamente allestita, quando la sezione alla quale sono iscritti non è accessibile mediante sedia a ruote. È necessaria l’esibizione di documento di riconoscimento, della tessera elettorale, l’attestazione medica rilasciata, anche precedentemente e per altri scopi, dall’Azienda Sanitaria, o copia autentica della patente di guida speciale, purché dalla documentazione esibita risulti l’impossibilità o la capacità gravemente ridotta di deambulazione. Si sono individuate, segnalandone gli accessi con apposito simbolo, ed attrezzate le sezioni ubicate in locali ove le barriere architettoniche sono state eliminate""",legend/thumbs_index/seggi_elettorali_palermo.jpg,"Elezioni Amministrative,Elezioni Politiche,Elezioni Regionli,Referendum",Elezioni Amministrative,Palermo,seggi_elettorali_palermo.html,Comune di Palermo,,"@cirospat,@gbvitrano",01-12-2016,2016-December,2016
Mappa stazioni di monitoraggio polveri sottili 2016 della Città di Palermo,"Qualità dell'aria del Comune di Palermo. La rete è costituita da 10 stazioni ubicate in vari punti rappresentativi della città, dotate di apparecchiature per il controllo continuo dell’inquinamento atmosferico ed acustico.",legend/thumbs_index/polveri_sottili.jpg,"Ambiente,Inquinamento,Polveri sottili,PM10,Controllo Territorio,Monitoraggio",Ambiente,Palermo,polveri_sottili.html,RAP,,"@cirospat,@gbvitrano",08-10-2016,2016-October,2016
ZTL Centrale - Palermo - 2016,ZTL e servizi di mobilità urbana prossimi alla ZTL Centrale - Palermo - 2016,legend/thumbs_index/ztl_pa.jpg,"ZTL,Palermo,Centro Storico,Parcheggi,Tram,Amat,Sportelli Amat,Parcheggi,Pubblici,Interscambio,Metrò,Bike,Sharing",Mobilità,Palermo,ztl_pa.html,Comune di Palermo,,"@aborruso,@cirospat,@gbvitrano",09-09-2016,2016-September,2016
TimeMapper delle Vie dei Tesori 2016 della Città di Palermo (TimeMapper),TimeMapper delle Vie dei Tesori 2016 della Città di Palermo (TimeMapper),legend/thumbs_index/vie_dei_tesori_timemapper.jpg,"Le vie dei Tesori,Cultura,Turismo,Palermo,Edifici storici,Percorsi,Momumenti","Cultura,Turismo",Palermo,vie_dei_tesori_timemapper.html,leviedeitesori.com,,@gbvitrano,08-09-2016,2016-September,2016
Rielaborazione della mappa le Vie dei Tesori Città di Palermo,Rielaborazione della mappa le Vie dei Tesori Città di Palermo,legend/thumbs_index/vie_dei_tesori.jpg,"Le vie dei Tesori,Cultura,Turismo,Palermo,Edifici storici,Percorsi,Momumenti","Cultura,Turismo",Palermo,vie_dei_tesori.html,leviedeitesori.com,,"@cirospat,@gbvitrano",07-09-2016,2016-September,2016
Divieti di balneazione a Palermo nel 2016,Divieti di balneazione permanente per la stagione estiva 2016 nel comune di Palermo,legend/thumbs_index/divieti_baln.jpg,"Balneazione,Mare,Spiagge,Sole",Ambiente,Palermo,divieti_baln.html,Comune di Palermo,,@cirospat,24-06-2016,2016-June,2016
"Luoghi di interesse turistico, culturale, archelologico, artistico di Palermo","Luoghi di interesse turistico, culturale, archelologico, artistico di Palermo",legend/thumbs_index/luoghi_interesse_turistico.jpg,"Cultura,Turismo,Palermo,Edifici storici,Percorsi,Momumenti","Cultura,Turismo",Palermo,luoghi_interesse_turistico.html,Comune di Palermo,,"@piersoft,@gbvitrano",08-05-2016,2016-May,2016
Abusi edilizi polizia municipale Palermo – aggiornato al 2015,Abusi edilizi polizia municipale Palermo – aggiornato al 2015,legend/thumbs_index/abusi_edilizi_2015.jpg,"Ambiente,Controlli,Abusi edilizi,Controllo Territorio",Ambiente,Palermo,abusi_edilizi_2015.html,Comune di Palermo,,@gbvitrano,07-05-2016,2016-May,2016
Inquinamento acustico Comune di Palermo,Mappa del livello di rumore giornaliero e notturno da traffico veicolare (Lden road e Lnight road),legend/thumbs_index/arpa_Lden.jpg,"Arpa,Palermo,Inquinamento,Rumore,Lden road,Lnight road",Ambiente,Palermo,arpa_Lden.html,Arpa Sicilia,,@gbvitrano,04-05-2016,2016-May,2016
Aree di Abbandono incontrollato di rifiuti nel 2015,"Aree pubbliche/private di Abbandono incontrollato di R.S.U., rifiuti ingombranti, speciali o pericolosi a Palermo nel 2015",legend/thumbs_index/abbandono.jpg,"Ambiente,Rifiuti,Controllo Territorio","Ambiente,Rifiuti,Riciclo",Palermo,abbandono.html,Comune di Palermo,,@cirospat,09-03-2016,2016-March,2016
Geositi della Provincia di Enna,Geositi della Provincia di Enna,legend/thumbs_index/geositi_enna.jpg,"Ambiente,Geositi","Natura,Ambiente,Geologia",Enna,geositi_enna.html,Provincia di Enna,,@cirospat,08-03-2016,2016-March,2016
Stoccaggio rifiuti speciali a Palermo,Gestione e stoccaggio rifiuti speciali o pericolosi nel 2015 a Palermo,legend/thumbs_index/gest_stoccaggio.jpg,"Ambiente,Rifiuti,Controllo Territorio","Ambiente,Rifiuti,Riciclo",Palermo,gest_stoccaggio.html,Comune di Palermo,,@cirospat,08-03-2016,2016-March,2016
Inquinamento acustico a Palermo nel 2015,Interventi di Polizia Municipale per inquinamento acustico 2015 a Palermo,legend/thumbs_index/inquinamento_acustico.jpg,"Controllo Territorio,Inquinamento acustico",Ambiente,Palermo,inquinamento_acustico.html,Comune di Palermo,,@cirospat,07-03-2016,2016-March,2016
Verbali nel 2015 per irregolare conferimento rifiuti a Palermo,Verbali elevati nel 2015 per irregolare conferimento rifiuti o raccolta differenziata a Palermo,legend/thumbs_index/verbali.jpg,"Ambiente,Rifiuti,Controllo Territorio","Ambiente,Rifiuti,Riciclo",Palermo,verbali.html,Comune di Palermo,,@cirospat,07-03-2016,2016-March,2016
Vittime di mafia a Palermo,Localizzazione dei siti con vittime di mafia a Palermo,legend/thumbs_index/vittime_mafia.jpg,mafia,Illegalità,Palermo,vittime_mafia.html,vittimemafia.it,,@cirospat,05-03-2016,2016-March,2016
Cassonetti per la raccolta degli indumenti usati a Palermo,Cassonetti della società RAP SpA per la raccolta degli indumenti usati a Palermo,legend/thumbs_index/cassonetti_rap.jpg,"Riciclo,Indumenti,Abbandono","Ambiente,Rifiuti,Riciclo",Palermo,cassonetti_rap.html,Comune di Palermo,,@cirospat,01-03-2016,2016-March,2016
Mappa calore dei beni confiscati alle criminalità in Italia,"Dati aggregati su base regionale, provinciale e comunale a partire da quelli ufficiali dell'ANBSC aggiornati al 31 dicembre 2015 sito dell'agenzia.",legend/thumbs_index/beni_confiscati.jpg,"Beni confiscati,Beni immobili",Strumenti Urbanistici,Italia,beni_confiscati.html,confiscatibene.it,,@gbvitrano,08-02-2016,2016-February,2016
Zonizzazione e vincoli sul territorio della Città di Palermo – Qgis Cloud,Zonizzazione e vincoli sul territorio della Città di Palermo – Qgis Cloud,legend/thumbs_index/prg_qgis_cloud.jpg,"Variante Generale,PRG,PPE,Centro Storico,Palermo,Controllo del territorio,Governo del territorio,Zonizzazione,Pianp Particolareggiato",Strumenti Urbanistici,Palermo,prg_qgis_cloud.html,Comune di Palermo,,@gbvitrano,22-12-2015,2015-December,2015
OPEN Censimenti - Palermo,OPEN Censimenti - Italia su dati Istat 2011,legend/thumbs_index/opencensimenti_palermo.jpg,"Istat,Censimento,Popolazione,Opendata,Palermo,Sicilia,Italia",Strumenti Urbanistici,Italia,https://public.ixmaps.com.s3-website-eu-west-1.amazonaws.com/stage/app/Istat_basi_territoriali/Censimento_OnePage/index.html,ISTAT,,@grichter,04-07-2015,2015-July,2015
Piano Particolareggiato Esecutivo del Centro Storico di Palermo – Qgis Cloud,Piano Particolareggiato Esecutivo del Centro Storico di Palermo – Qgis Cloud,legend/thumbs_index/ppe_qgis_cloud.jpg,"Variante Generale,PRG,PPE,Centro Storico,Palermo,Controllo del territorio,Governo del territorio,Zonizzazione,Pianp Particolareggiato",Strumenti Urbanistici,Palermo,ppe_qgis_cloud.html,Comune di Palermo,,@gbvitrano,22-05-2015,2015-May,2015
Mappatura al 2010 degli interventi nel Centro Storico di Palermo,Mappatura al 2010 degli interventi nel Centro Storico di Palermo,legend/thumbs_index/int_centro_storico.jpg,"Palermo,Centro Storico,Edifici storici,Controllo Territorio,Monitoraggio",Strumenti Urbanistici,Palermo,int_centro_storico.html,Il futuro del centro storico di Palermo di Maurizio Carta,,"Maria Lucia Cannarozzo,Emilio Di Gristina,@gbvitrano",08-05-2015,2015-May,2015
Mappa monumentale di Palermo e dell'Agro Palermitano,"Stanco della mancanza di una mappa monumentale seria e completa ho deciso di costruirmela da solo, nella speranza che sia di gradimento. Marcello Petrucci",legend/thumbs_index/mappa_monumentale_palermo.jpg,"Cultura,Turismo,Palermo,Edifici storici","Cultura,Turismo",Palermo,mappa_monumentale.html,Marcello Petrucci,,Marcello Petrucci,01-01-2015,2015-January,2015
Ortofoto 14 centimetri -  Aree Urbane,"Le Ortofoto a risoluzione di 14 cm del SITR della Regione Siciliana - Aree Urbane - Palermo ,Enna, Messina, Ragusa, Trapani - <a href=""http://opendatasicilia.it/2014/12/24/lortofoto-di-natale-14-centimetri/"" title=""Post OpenDataSicilia.it"" target=""_blank""> L’ortofoto di Natale, a 14 centimetri</a>

",legend/thumbs_index/ortofoto14cm.jpg,"Ortofoto 14 centimetri,Palermo,Enna,Messina,Ragusa,Trapani,",Cartografia,Sicilia,ortofoto14cm.html,Regione Sicilia,,@aborruso,24-12-2014,2014-December,2014
