X,Y,id,tipo_ubicazione,denominazione_ubicazione,numero_ civico,note,Indirizzo,UPL,Quartiere,Circoscrizione
13.42524,38.067644,1450,Cortile,RAPPALLO,14,,"Cortile Rappallo, 90121 Palermo",Ciaculli Croce Verde,Brancaccio - Ciaculli,II
13.417402,38.067583,1451,Via,GIARDINA,53,,"Via Giardina, 53, 90121 Ciaculli Palermo",Ciaculli Croce Verde,Brancaccio - Ciaculli,II
13.415852,38.066139,1452,Via,GIARDINA,1,,"Via Giardina, 1, 90121 Palermo",Ciaculli Croce Verde,Brancaccio - Ciaculli,II
13.32655,38.163671,1453,Via,FLORIO,27,,"Via Florio, 27, 90146 Palermo",Pallavicino,Pallavicino,VII
13.32333,38.1627,1454,Via,SAN LORENZO,200,,"Via S. Lorenzo, 200, 90146 Palermo",San Lorenzo,Resuttana - San Lorenzo,VI
13.285568,38.190086,1457,Via,TOMMASO NATALE,61,,"Via Tommaso Natale, 61, 90147 Palermo",Tommaso Natale - Sant'Ambrogio - Cardillo,Tommaso Natale - Sferracavallo,VII
13.28595,38.18952,1458,Piazza,TOMMASO NATALE,141,,"Piazza Natale Tommaso, 141, 90147 Palermo",Tommaso Natale - Sant'Ambrogio - Cardillo,Tommaso Natale - Sferracavallo,VII
13.28564,38.189814,1459,Piazza,TOMMASO NATALE,90,,"Piazza Natale Tommaso, 90, 90147 Palermo",Tommaso Natale - Sant'Ambrogio - Cardillo,Tommaso Natale - Sferracavallo,VII
13.365638,38.111896,1461,Via,DI BENEDETTO FRATELLI,19,,"Via Fratelli de Benedetto, 19, 90133 Palermo",Tribunali o Kalsa,Tribunali-Castellammare,I
13.286555,38.190379,1462,Piazza,ROSSI,1,,"Piazza Rossi, 1, 90147 Palermo",Tommaso Natale - Sant'Ambrogio - Cardillo,Tommaso Natale - Sferracavallo,VII
13.27557,38.197966,1463,Vicolo,BAGLICELLO II,9,,"Vicolo I Baglicello, 90147 Palermo",Sferracavallo,Tommaso Natale - Sferracavallo,VII
