INDIRIZZO,NUMERO_CIVICO,CATEGORIA,TIPO,SUBTIPO,FOGLIO,PLLA,motivo
CORSO CALATAFIMI,88,Edificio,ARREDO URBANO,FONTANA,,,civico_non_trovato_in_anncsu
CORTILE CLEMENTE,6,Edificio,ARREDO URBANO,FONTANA,,,civico_non_trovato_in_anncsu
CORTILE GRIFOTTA,22,Edificio,ARREDO URBANO,FONTANA,,,civico_non_trovato_in_anncsu
LARGO MACELLO,20,Edificio,ARREDO URBANO,FONTANA,,,civico_non_trovato_in_anncsu
PIAZZA BECCADELLI ANTONIO,60,Edificio,ARREDO URBANO,CHIOSCO,,,civico_non_trovato_in_anncsu
PIAZZA CASCINO ANTONINO GEN.,33,Edificio,ARREDO URBANO,FONTANA,,,civico_non_trovato_in_anncsu
PIAZZA CASCINO ANTONINO GEN.,177,Edificio,INFRASTRUTTURA INTERESSE GENERALE,PADIGLIONE,,,civico_non_trovato_in_anncsu
PIAZZA CASTELFORTE,77,Edificio,ARREDO URBANO,FONTANA,,,civico_non_trovato_in_anncsu
PIAZZA CASTELNUOVO,79,Edificio,ARREDO URBANO,CHIOSCO,,,civico_non_trovato_in_anncsu
PIAZZA MAGIONE,37/D,Unità non abitativa,EDILIZIA RESIDENZIALE,MAGAZZINO (E.R.),,,civico_non_trovato_in_anncsu
PIAZZA PORTA MONTALTO,203,Edificio,ARREDO URBANO,CHIOSCO,,,civico_non_trovato_in_anncsu
PIAZZA TREDICI VITTIME,8,Terreno,VERDE,AGRICOLO,,,civico_non_trovato_in_anncsu
PIAZZETTA CHIESA DEI COCCHIERI,2,Edificio,ARREDO URBANO,FONTANA,,,civico_non_trovato_in_anncsu
PIAZZETTA CINA',97,Edificio,ARREDO URBANO,FONTANA,,,civico_non_trovato_in_anncsu
PIAZZETTA DELLA PIETA',2,Unità abitativa,EDILIZIA RESIDENZIALE,ALLOGGIO (E.R.),131,,civico_non_trovato_in_anncsu
PIAZZETTA DELLE VERGINI,66,Edificio,ARREDO URBANO,FONTANA,,,civico_non_trovato_in_anncsu
PIAZZETTA SEIDITA,13,Edificio,ARREDO URBANO,FONTANA,,,civico_non_trovato_in_anncsu
PIAZZETTA SETTE FATE,1,Terreno,AREA,AREA LIBERA,,,civico_non_trovato_in_anncsu
PIAZZETTA SETTE FATE,1,Terreno,AREA,AREA LIBERA,,,civico_non_trovato_in_anncsu
PIAZZETTA SPECIALE PIETRO,1,Edificio,ARREDO URBANO,FONTANA,,,civico_non_trovato_in_anncsu
VIA ALBERGHERIA,187,Unità non abitativa,LOCALE,MAGAZZINO,139,,civico_non_trovato_in_anncsu
VIA ARCHIMEDE,16,Edificio,ARREDO URBANO,FONTANA,,,civico_non_trovato_in_anncsu
VIA BELLOLAMPO,4,Edificio,IMPIANTO TECNICO,IMPIANTO DI SOLLEVAMENTO,,,civico_non_trovato_in_anncsu
VIA BONOMO GABRIELE,33,Edificio,ARREDO URBANO,FONTANA,,,civico_non_trovato_in_anncsu
VIA BRAMANTE DONATO,17,Edificio,SCUOLA,ASILO NIDO,48,,civico_non_trovato_in_anncsu
VIA CASALINI,37,Edificio,ARREDO URBANO,FONTANA,,,civico_non_trovato_in_anncsu
VIA CASCINO ANTONINO GEN.,177,Terreno,INFRASTRUTTURA INTERESSE GENERALE,AREA ESPOSITIVA,,,civico_non_trovato_in_anncsu
VIA CIMABUE GIOVANNI,22,Edificio,ARREDO URBANO,FONTANA,,,civico_non_trovato_in_anncsu
VIA DE GOBBIS FRANCESCO,39,Unità abitativa,ABITAZIONE DI SERVIZIO,ALLOGGIO CUSTODE,15,,civico_non_trovato_in_anncsu
VIA DE GOBBIS FRANCESCO,39,Unità non abitativa,IMPIANTO SPORTIVO,PALESTRA,15,,civico_non_trovato_in_anncsu
VIA DEL CASTORO,118,Unità non abitativa,IMPIANTO SPORTIVO,PALESTRA,,,civico_non_trovato_in_anncsu
VIA DEL PAPPAGALLO,1,Unità non abitativa,LOCALE,MAGAZZINO,133,,civico_non_trovato_in_anncsu
VIA DELLO SPASIMO,4,Unità non abitativa,LOCALE,MAGAZZINO,135,,civico_non_trovato_in_anncsu
VIA GAETANI OTTAVIO,20,Edificio,ARREDO URBANO,FONTANA,,,civico_non_trovato_in_anncsu
VIA GIARDINA,95,Edificio,ARREDO URBANO,FONTANA,,,civico_non_trovato_in_anncsu
VIA GIUSINO,24,Edificio,ARREDO URBANO,FONTANA,,,civico_non_trovato_in_anncsu
VIA GUGLIELMINI,20,Terreno,LOCALE,CAPANNONE,,,civico_non_trovato_in_anncsu
VIA LO FASO DOMENICO,23,Terreno,EDILIZIA RESIDENZIALE,NON CLASSIFICATO,,,civico_non_trovato_in_anncsu
VIA MATTARELLA PIERSANTI,15,Unità abitativa,ABITAZIONE DI SERVIZIO,ALLOGGIO CUSTODE,,,civico_non_trovato_in_anncsu
VIA MESSINA MARINE,106,Terreno,AREA,PARZIALMENTE EDIFICATA,,,civico_non_trovato_in_anncsu
VIA MONTEPELLEGRINO,1,Unità non abitativa,ABITAZIONE DI SERVIZIO,PORTINERIA,,,civico_non_trovato_in_anncsu
VIA MONTEPELLEGRINO,1,Unità non abitativa,ABITAZIONE DI SERVIZIO,PORTINERIA,,,civico_non_trovato_in_anncsu
VIA MONTEPELLEGRINO,1,Unità non abitativa,COMMERCIALE,BAR,34,,civico_non_trovato_in_anncsu
VIA MONTEPELLEGRINO,1,Unità non abitativa,LOCALE,MAGAZZINO,,,civico_non_trovato_in_anncsu
VIA MONTEPELLEGRINO,1,Unità non abitativa,LOCALE,MAGAZZINO,,,civico_non_trovato_in_anncsu
VIA MONTEPELLEGRINO,1,Unità non abitativa,LOCALE,MAGAZZINO,,,civico_non_trovato_in_anncsu
VIA MONTEPELLEGRINO,1,Unità non abitativa,LOCALE,MAGAZZINO,,,civico_non_trovato_in_anncsu
VIA MONTEPELLEGRINO,1,Unità non abitativa,LOCALE,MAGAZZINO,,,civico_non_trovato_in_anncsu
VIA MONTEPELLEGRINO,1,Unità non abitativa,LOCALE,MAGAZZINO,,,civico_non_trovato_in_anncsu
VIA MONTEPELLEGRINO,1,Unità non abitativa,LOCALE,MAGAZZINO,,,civico_non_trovato_in_anncsu
VIA MONTEPELLEGRINO,1,Unità non abitativa,LOCALE,MAGAZZINO,,,civico_non_trovato_in_anncsu
VIA MONTEPELLEGRINO,1,Unità non abitativa,LOCALE,MAGAZZINO,,,civico_non_trovato_in_anncsu
VIA MONTEPELLEGRINO,1,Unità non abitativa,LOCALE,MAGAZZINO,,,civico_non_trovato_in_anncsu
VIA MONTEPELLEGRINO,1,Unità non abitativa,LOCALE,NON CLASSIFICATO,,,civico_non_trovato_in_anncsu
VIA MONTEPELLEGRINO,1,Unità non abitativa,LOCALE,NON CLASSIFICATO,,,civico_non_trovato_in_anncsu
VIA MONTEPELLEGRINO,1,Unità non abitativa,LOCALE,NON CLASSIFICATO,,,civico_non_trovato_in_anncsu
VIA MONTEPELLEGRINO,1,Unità non abitativa,UFFICIO,UFFICIO COMUNALE,,,civico_non_trovato_in_anncsu
VIA MONTEPELLEGRINO,1,Unità non abitativa,UFFICIO,UFFICIO COMUNALE,,,civico_non_trovato_in_anncsu
VIA MONTEPELLEGRINO,1,Unità non abitativa,UFFICIO,UFFICIO COMUNALE,,,civico_non_trovato_in_anncsu
VIA MONTEPELLEGRINO,1,Unità non abitativa,UFFICIO,UFFICIO COMUNALE,,,civico_non_trovato_in_anncsu
VIA MONTEPELLEGRINO,1,Unità non abitativa,UFFICIO,UFFICIO COMUNALE,,,civico_non_trovato_in_anncsu
VIA MURA DI SAN VITO,810,Unità non abitativa,LOCALE,MAGAZZINO,127,,civico_non_trovato_in_anncsu
VIA PANZERA FRANCESCO,1,Edificio,ABITAZIONE DI SERVIZIO,ALLOGGIO CUSTODE,88,,civico_non_trovato_in_anncsu
VIA PANZERA FRANCESCO,1,Unità abitativa,ABITAZIONE DI SERVIZIO,ALLOGGIO CUSTODE,88,,civico_non_trovato_in_anncsu
VIA PANZERA FRANCESCO,1,Unità non abitativa,LOCALE TECNICO,AUTOCLAVE/CALDAIA,88,,civico_non_trovato_in_anncsu
VIA PANZERA FRANCESCO,1,Unità non abitativa,IMPIANTO SPORTIVO,PALESTRA,88,,civico_non_trovato_in_anncsu
VIA PARROCCHIA DEI TARTARI,93,Edificio,ARREDO URBANO,FONTANA,,,civico_non_trovato_in_anncsu
VIA PARTANNA MONDELLO,194,Edificio,ARREDO URBANO,FONTANA,,,civico_non_trovato_in_anncsu
VIA PIEDILEGNO,25/27,Unità non abitativa,LOCALE,MAGAZZINO,31,,civico_non_trovato_in_anncsu
VIA PORTA CARINI,4,Edificio,ARREDO URBANO,FONTANA,,,civico_non_trovato_in_anncsu
VIA PORTA DI CASTRO,184/186,Terreno,AREA,AREA DI RISULTA,,,civico_non_trovato_in_anncsu
VIA PREZZOLINI GIUSEPPE,108,Edificio,ARREDO URBANO,FONTANA,,,civico_non_trovato_in_anncsu
VIA ROCCAZZO,2,Edificio,ARREDO URBANO,FONTANA,,,civico_non_trovato_in_anncsu
VIA ROSSI,1,Edificio,ARREDO URBANO,FONTANA,,,civico_non_trovato_in_anncsu
VIA SALINE,29,Edificio,ARREDO URBANO,FONTANA,,,civico_non_trovato_in_anncsu
VIA SAVONA,40,Unità non abitativa,COMMERCIALE,NEGOZI E BOTTEGHE,,,civico_non_trovato_in_anncsu
VIA SAVONA,38,Unità non abitativa,COMMERCIALE,NEGOZI E BOTTEGHE,,,civico_non_trovato_in_anncsu
VIA SCIACCA,22,Edificio,ARREDO URBANO,FONTANA,,,civico_non_trovato_in_anncsu
VIA SICCHERIA AL PORTELLO,7,Unità non abitativa,LOCALE,MAGAZZINO,55,,civico_non_trovato_in_anncsu
VIA TIMEO,21,Edificio,ARREDO URBANO,FONTANA,,,civico_non_trovato_in_anncsu
VIA TORRE DI MONDELLO,49,Edificio,ARREDO URBANO,FONTANA,,,civico_non_trovato_in_anncsu
VIA TURR STEFANO,154B,Edificio,ARREDO URBANO,FONTANA,,,civico_non_trovato_in_anncsu
VIA VILLA SPERLINGA,158,Terreno,VERDE,VERDE PUBBLICO,,,civico_non_trovato_in_anncsu
VIALE DEL FANTE,15,Edificio,IMPIANTO SPORTIVO,CAMPO CALCIO,,,civico_non_trovato_in_anncsu
VIALE DEL FANTE,13,Edificio,IMPIANTO SPORTIVO,CAMPO OSTACOLI,,,civico_non_trovato_in_anncsu
VICOLO NUOVO,30,Edificio,ARREDO URBANO,FONTANA,,,civico_non_trovato_in_anncsu
VICOLO ROCCA,56,Terreno,AREA,TERRENO,,,civico_non_trovato_in_anncsu
CLE ECCE HOMO (V S.AGOSTINO),,Unità abitativa,EDILIZIA RESIDENZIALE PUBBLICA,ALLOGGIO (E.R.P.),,,numero_civico_assente_snc
CLE ECCE HOMO (V S.AGOSTINO),,Unità abitativa,EDILIZIA RESIDENZIALE PUBBLICA,ALLOGGIO (E.R.P.),,,numero_civico_assente_snc
CLE ECCE HOMO (V S.AGOSTINO),,Unità abitativa,EDILIZIA RESIDENZIALE PUBBLICA,ALLOGGIO (E.R.P.),,,numero_civico_assente_snc
CLE ECCE HOMO (V S.AGOSTINO),,Unità abitativa,EDILIZIA RESIDENZIALE PUBBLICA,ALLOGGIO (E.R.P.),,,numero_civico_assente_snc
CLE ECCE HOMO (V S.AGOSTINO),,Unità abitativa,EDILIZIA RESIDENZIALE PUBBLICA,ALLOGGIO (E.R.P.),,,numero_civico_assente_snc
CLE ECCE HOMO (V S.AGOSTINO),,Unità abitativa,EDILIZIA RESIDENZIALE PUBBLICA,ALLOGGIO (E.R.P.),,,numero_civico_assente_snc
CLE ECCE HOMO (V S.AGOSTINO),,Unità abitativa,EDILIZIA RESIDENZIALE PUBBLICA,ALLOGGIO (E.R.P.),,,numero_civico_assente_snc
CORSO CALATAFIMI,,Edificio,LOCALE TECNICO,CABINA ELETTRICA,,,numero_civico_assente_snc
CORSO DEI MILLE,,Edificio,LOCALE TECNICO,CABINA ELETTRICA,,,numero_civico_assente_snc
CORTILE CATARO,,Unità non abitativa,SCUOLA,ASILO NIDO,,,numero_civico_assente_snc
FONDO CHIANAZZO,SNC,Terreno,AREA,TERRENO,,,numero_civico_assente_snc
FONDO CHIANAZZO,SNC,Terreno,AREA,TERRENO,,,numero_civico_assente_snc
FONDO MOTISI,SNC,Terreno,AREA,TERRENO,,,numero_civico_assente_snc
LARGO DI VITTORIO GIUSEPPE,,Unità abitativa,ABITAZIONE DI SERVIZIO,ALLOGGIO CUSTODE,89,,numero_civico_assente_snc
LARGO SABATO ANTONINO,,Edificio,ARREDO URBANO,FONTANA,,,numero_civico_assente_snc
LARGO SABATO ANTONINO,,Terreno,VERDE,VERDE PUBBLICO,,,numero_civico_assente_snc
LARGO SABATO ANTONINO,,Terreno,VERDE,VERDE PUBBLICO,,,numero_civico_assente_snc
LARGO SABATO ANTONINO,,Terreno,VERDE,VERDE PUBBLICO,,,numero_civico_assente_snc
LARGO SABATO ANTONINO,,Terreno,VERDE,VERDE PUBBLICO,,,numero_civico_assente_snc
LARGO SABATO ANTONINO,,Terreno,VERDE,VERDE PUBBLICO,,,numero_civico_assente_snc
LARGO SABATO ANTONINO,,Terreno,VERDE,VERDE PUBBLICO,,,numero_civico_assente_snc
LARGO SABATO ANTONINO,,Terreno,VERDE,VERDE PUBBLICO,,,numero_civico_assente_snc
LARGO SABATO ANTONINO,,Terreno,VERDE,VERDE PUBBLICO,,,numero_civico_assente_snc
LARGO SABATO ANTONINO,,Terreno,VERDE,VERDE PUBBLICO,,,numero_civico_assente_snc
LARGO SABATO ANTONINO,,Terreno,VERDE,VERDE PUBBLICO,,,numero_civico_assente_snc
LARGO SABATO ANTONINO,,Terreno,VERDE,VERDE PUBBLICO,,,numero_civico_assente_snc
LARGO SABATO ANTONINO,,Terreno,VERDE,VERDE PUBBLICO,,,numero_civico_assente_snc
LARGO SABATO ANTONINO,,Terreno,VERDE,VERDE PUBBLICO,,,numero_civico_assente_snc
LARGO SABATO ANTONINO,,Terreno,VERDE,VERDE PUBBLICO,,,numero_civico_assente_snc
LARGO SABATO ANTONINO,,Terreno,VERDE,VERDE PUBBLICO,,,numero_civico_assente_snc
LARGO SABATO ANTONINO,,Terreno,VERDE,VERDE PUBBLICO,,,numero_civico_assente_snc
LARGO SABATO ANTONINO,,Terreno,VERDE,VERDE PUBBLICO,,,numero_civico_assente_snc
LARGO SABATO ANTONINO,,Terreno,VERDE,VERDE PUBBLICO,,,numero_civico_assente_snc
LARGO SABATO ANTONINO,,Terreno,VERDE,VERDE PUBBLICO,,,numero_civico_assente_snc
LARGO SABATO ANTONINO,,Terreno,VERDE,VERDE PUBBLICO,,,numero_civico_assente_snc
LARGO SABATO ANTONINO,,Terreno,VERDE,VERDE PUBBLICO,,,numero_civico_assente_snc
LARGO SABATO ANTONINO,,Terreno,VERDE,VERDE PUBBLICO,,,numero_civico_assente_snc
LARGO SABATO ANTONINO,,Terreno,VERDE,VERDE PUBBLICO,,,numero_civico_assente_snc
LARGO SABATO ANTONINO,,Terreno,VERDE,VERDE PUBBLICO,,,numero_civico_assente_snc
LARGO SABATO ANTONINO,,Terreno,VERDE,VERDE PUBBLICO,,,numero_civico_assente_snc
LUNGOMARE COLOMBO CRISTOFORO,,Area,STRADA,REGIA TRAZZERA,,,numero_civico_assente_snc
LUNGOMARE COLOMBO CRISTOFORO,SNC,Terreno,STRADA,REGIA TRAZZERA,,,numero_civico_assente_snc
LUNGOMARE COLOMBO CRISTOFORO,SNC,Terreno,STRADA,REGIA TRAZZERA,,,numero_civico_assente_snc
LUNGOMARE COLOMBO CRISTOFORO,SNC,Terreno,STRADA,REGIA TRAZZERA,,,numero_civico_assente_snc
LUNGOMARE COLOMBO CRISTOFORO,SNC,Terreno,STRADA,REGIA TRAZZERA,,,numero_civico_assente_snc
LUNGOMARE COLOMBO CRISTOFORO,SNC,Terreno,STRADA,REGIA TRAZZERA,,,numero_civico_assente_snc
LUNGOMARE COLOMBO CRISTOFORO,SNC,Terreno,STRADA,REGIA TRAZZERA,,,numero_civico_assente_snc
LUNGOMARE COLOMBO CRISTOFORO,SNC,Terreno,STRADA,REGIA TRAZZERA,,,numero_civico_assente_snc
LUNGOMARE COLOMBO CRISTOFORO,SNC,Terreno,STRADA,REGIA TRAZZERA,,,numero_civico_assente_snc
LUNGOMARE COLOMBO CRISTOFORO,SNC,Terreno,STRADA,REGIA TRAZZERA,,,numero_civico_assente_snc
LUNGOMARE COLOMBO CRISTOFORO,SNC,Terreno,STRADA,REGIA TRAZZERA,,,numero_civico_assente_snc
LUNGOMARE COLOMBO CRISTOFORO,SNC,Terreno,STRADA,REGIA TRAZZERA,,,numero_civico_assente_snc
LUNGOMARE COLOMBO CRISTOFORO,SNC,Terreno,STRADA,REGIA TRAZZERA,,,numero_civico_assente_snc
LUNGOMARE COLOMBO CRISTOFORO,SNC,Terreno,STRADA,REGIA TRAZZERA,,,numero_civico_assente_snc
PASSAGGIO LINCOLN,,Edificio,ARREDO URBANO,FONTANA,,,numero_civico_assente_snc
PASSAGGIO LINCOLN,,Edificio,ARREDO URBANO,FONTANA,,,numero_civico_assente_snc
PASSAGGIO LINCOLN,,Edificio,ARREDO URBANO,FONTANA,,,numero_civico_assente_snc
PASSAGGIO LINCOLN,,Edificio,ARREDO URBANO,FONTANA,,,numero_civico_assente_snc
PASSAGGIO LINCOLN,,Edificio,ARREDO URBANO,FONTANA,,,numero_civico_assente_snc
PASSAGGIO LINCOLN,,Edificio,ARREDO URBANO,FONTANA,,,numero_civico_assente_snc
PIAZZA CARACCIOLO,,Edificio,ARREDO URBANO,FONTANA,,,numero_civico_assente_snc
PIAZZA CUPANI FRANCESCO,,Edificio,INFRASTRUTTURA INTERESSE GENERALE,GABINETTO PUBBLICO,,,numero_civico_assente_snc
PIAZZA DEGLI ARAGONESI,SNC,Edificio,LOCALE TECNICO,CABINA ELETTRICA,,,numero_civico_assente_snc
PIAZZA GENTILI ALBERICO,,Edificio,ARREDO URBANO,FONTANA,,,numero_civico_assente_snc
PIAZZA GIULIO CESARE,,Edificio,ARREDO URBANO,CHIOSCO,,,numero_civico_assente_snc
PIAZZA GIULIO CESARE,,Unità non abitativa,UFFICIO,UFFICIO COMUNALE,,,numero_civico_assente_snc
PIAZZA GIULIO CESARE,,Unità non abitativa,UFFICIO,UFFICIO COMUNALE,,,numero_civico_assente_snc
PIAZZA GIULIO CESARE,,Terreno,VERDE,VERDE PUBBLICO,,,numero_civico_assente_snc
PIAZZA INDIPENDENZA,,Edificio,ARREDO URBANO,CHIOSCO,136,,numero_civico_assente_snc
PIAZZA MONDELLO,,Edificio,ARREDO URBANO,FONTANA,,,numero_civico_assente_snc
PIAZZA MONTE DI PIETA',,Edificio,ARREDO URBANO,FONTANA,,,numero_civico_assente_snc
PIAZZA PRETORIA,,Edificio,ARREDO URBANO,FONTANA,,,numero_civico_assente_snc
PIAZZA TORRELUNGA,,Edificio,LOCALE TECNICO,CABINA ELETTRICA,,,numero_civico_assente_snc
PIAZZA TREDICI VITTIME,,Edificio,ARREDO URBANO,FONTANA,,,numero_civico_assente_snc
PIAZZA TREDICI VITTIME,,Terreno,VERDE,AGRICOLO,,,numero_civico_assente_snc
PIAZZA TREDICI VITTIME,,Terreno,VERDE,AGRICOLO,,,numero_civico_assente_snc
PIAZZA TREDICI VITTIME,,Terreno,VERDE,AGRICOLO,,,numero_civico_assente_snc
PIAZZA TREDICI VITTIME,,Terreno,VERDE,AGRICOLO,,,numero_civico_assente_snc
PIAZZA TREDICI VITTIME,,Terreno,VERDE,AGRICOLO,,,numero_civico_assente_snc
PIAZZA VITTORIA,,Edificio,ARREDO URBANO,FONTANA,,,numero_civico_assente_snc
PIAZZETTA DI GIOVANNI VINCENZO19,,Edificio,ARREDO URBANO,FONTANA,,,numero_civico_assente_snc
PZZA ORLANDO VITTORIO EMANUELE,SNC,Edificio,PARCHEGGIO,PARCHEGGIO SOTTERRANEO MULTILIVELLO,126,,numero_civico_assente_snc
SALITA DEL BANDITORE,,Unità non abitativa,LOCALE,CANTINA,,,numero_civico_assente_snc
SALITA DEL BANDITORE,,Unità non abitativa,LOCALE,CANTINA,,,numero_civico_assente_snc
SALITA DEL BANDITORE,,Unità non abitativa,LOCALE,CANTINA,,,numero_civico_assente_snc
SALITA DEL BANDITORE,,Unità non abitativa,LOCALE,CANTINA,,,numero_civico_assente_snc
SALITA DEL BANDITORE,,Unità non abitativa,LOCALE,CANTINA,,,numero_civico_assente_snc
SALITA DEL BANDITORE,,Unità non abitativa,LOCALE TECNICO,LOCALE CONTATORI,139,,numero_civico_assente_snc
SALITA DEL BANDITORE,,Unità non abitativa,LOCALE TECNICO,LOCALE SALA MACCHINE ASCENSORE,139,,numero_civico_assente_snc
SCALA CARINI,SNC,Terreno,AREA,PARZIALMENTE EDIFICATA,,,numero_civico_assente_snc
STRADELLA RISERVA REALE,,Unità abitativa,ABITAZIONE DI SERVIZIO,ALLOGGIO CUSTODE,,,numero_civico_assente_snc
STRADELLA RISERVA REALE,,Unità non abitativa,LOCALE,MAGAZZINO,,,numero_civico_assente_snc
STRADELLA RISERVA REALE,,Unità non abitativa,LOCALE,MAGAZZINO,,,numero_civico_assente_snc
STRADELLA RISERVA REALE,,Unità non abitativa,LOCALE,MAGAZZINO,,,numero_civico_assente_snc
STRADELLA RISERVA REALE,,Unità non abitativa,LOCALE,MAGAZZINO,,,numero_civico_assente_snc
STRADELLA RISERVA REALE,,Unità non abitativa,LOCALE,MAGAZZINO,,,numero_civico_assente_snc
STRADELLA RISERVA REALE,,Edificio,IMPIANTO TECNICO,ACQUEDOTTO,,,numero_civico_assente_snc
STRADELLA RISERVA REALE,,Terreno,IMPIANTO TECNICO,ACQUEDOTTO,,,numero_civico_assente_snc
VIA ADDAURA,,Edificio,CULTURALE,MONUMENTO,,,numero_civico_assente_snc
VIA ALDISIO SALVATORE,,Terreno,IMPIANTO SPORTIVO,CAMPO TENNIS,,,numero_civico_assente_snc
VIA ALTARELLO,,Terreno,AREA,AREA LIBERA,,,numero_civico_assente_snc
VIA BALSAMO PAOLO,,Edificio,ARREDO URBANO,CHIOSCO,,,numero_civico_assente_snc
VIA BARCARELLO,SNC,Area,RETE FOGNARIA SFERRACAVALLO,,,,numero_civico_assente_snc
VIA BELVEDERE,,Terreno,AREA,AREA LIBERA,,,numero_civico_assente_snc
VIA BRANCACCIO,,Edificio,ARREDO URBANO,FONTANA,,,numero_civico_assente_snc
VIA BRASCA,,Edificio,IMPIANTO TECNICO,ACQUEDOTTO,,,numero_civico_assente_snc
VIA BRASCA,,Terreno,IMPIANTO TECNICO,ACQUEDOTTO,,,numero_civico_assente_snc
VIA BRASCA,,Edificio,IMPIANTO TECNICO,IMPIANTO DI SOLLEVAMENTO,,,numero_civico_assente_snc
VIA BRONTE,,Terreno,IMPIANTO TECNICO,SERBATOIO,,,numero_civico_assente_snc
VIA BRUNETTO FILIPPO,N.C.,Unità abitativa,ABITAZIONE DI SERVIZIO,ALLOGGIO CUSTODE,,,numero_civico_assente_snc
VIA CARUSO,,Edificio,ARREDO URBANO,FONTANA,,,numero_civico_assente_snc
VIA CASCINO ANTONINO GEN.,,Edificio,ARREDO URBANO,FONTANA,,,numero_civico_assente_snc
VIA CASCINO ANTONINO GEN.,,Terreno,IMPIANTO TECNICO,SERBATOIO,,,numero_civico_assente_snc
VIA CASSARO,,Edificio,IMPIANTO TECNICO,IMPIANTO FOGNARIO,,,numero_civico_assente_snc
VIA CHIARAMONTE GIOVANNI,SNC,Edificio,LOCALE TECNICO,CABINA ELETTRICA,,,numero_civico_assente_snc
VIA CIACULLI,,Terreno,IMPIANTO TECNICO,ACQUEDOTTO,,,numero_civico_assente_snc
VIA CIACULLI,,Edificio,IMPIANTO TECNICO,IMPIANTO DI SOLLEVAMENTO,,,numero_civico_assente_snc
VIA CIACULLI,,Terreno,IMPIANTO TECNICO,IMPIANTO DI SOLLEVAMENTO,,,numero_civico_assente_snc
VIA COLONNA ROTTA,,Terreno,AREA,AREA DI RISULTA,,,numero_civico_assente_snc
VIA CONTE FEDERICO,SNC,Terreno,AREA,TERRENO,,,numero_civico_assente_snc
VIA CROCETTA,,Edificio,IMPIANTO TECNICO,IMPIANTO DI SOLLEVAMENTO,,,numero_civico_assente_snc
VIA DEGLI EMIRI,,Terreno,VERDE,AGRICOLO,,,numero_civico_assente_snc
VIA DEI PESCATORI,,Edificio,ARREDO URBANO,FONTANA,,,numero_civico_assente_snc
VIA DEL CASTORO,,Unità abitativa,ABITAZIONE DI SERVIZIO,ALLOGGIO CUSTODE,,,numero_civico_assente_snc
VIA DELL'ARENELLA,,Terreno,AREA,SOTTOVIA,,,numero_civico_assente_snc
VIA DELLA LIBERTA',,Edificio,ARREDO URBANO,FONTANA,,,numero_civico_assente_snc
VIA DELLA LIBERTA',,Edificio,ARREDO URBANO,FONTANA,,,numero_civico_assente_snc
VIA DELLA LIBERTA',,Edificio,ARREDO URBANO,FONTANA,,,numero_civico_assente_snc
VIA DELLA LIBERTA',,Edificio,ARREDO URBANO,FONTANA,,,numero_civico_assente_snc
VIA DELLA LIBERTA',,Edificio,ARREDO URBANO,FONTANA,,,numero_civico_assente_snc
VIA DELLO SCANZANO,,Terreno,IMPIANTO TECNICO,ACQUEDOTTO,,,numero_civico_assente_snc
VIA DOGALI,,Unità abitativa,ABITAZIONE DI SERVIZIO,ALLOGGIO CUSTODE,11,,numero_civico_assente_snc
VIA DOGALI,,Unità non abitativa,IMPIANTO SPORTIVO,PALESTRA,11,,numero_civico_assente_snc
VIA FALSOMIELE,,Terreno,AREA,PARZIALMENTE EDIFICATA,,,numero_civico_assente_snc
VIA FICHIDINDIA,,Terreno,IMPIANTO TECNICO,POZZO,,,numero_civico_assente_snc
VIA GARRAFFELLO,,Edificio,ARREDO URBANO,FONTANA,,,numero_civico_assente_snc
VIA GRAMSCI ANTONIO,SNC,Terreno,AREA,AREA LIBERA,86,,numero_civico_assente_snc
VIA GROTTE PARTANNA,,Terreno,VERDE,AGRICOLO,,,numero_civico_assente_snc
VIA GROTTE PARTANNA,,Terreno,VERDE,AGRICOLO,,,numero_civico_assente_snc
VIA GROTTE PARTANNA,,Terreno,VERDE,AGRICOLO,,,numero_civico_assente_snc
