FOGLIO,PLLA,n_record,subalterni,CATEGORIA,TIPO,SUBTIPO,INDIRIZZO,NUMERO_CIVICO
28,3367,1,1,Edificio,SCUOLA,ELEMENTARE,VIA INSERRA,1
29,194,4,,Unità abitativa,ABITAZIONE DI SERVIZIO,ALLOGGIO CUSTODE,VIA MONTE S.CALOGERO,29
29,273,1,,Terreno,VERDE,VILLA/GIARDINO,VIALE PRAGA,
29,354,2,,Edificio,IMPIANTO SPORTIVO,PALESTRA,VIA MONTE S.CALOGERO,20
29,451,2,,Edificio,IMPIANTO SPORTIVO,PALESTRA,VIA MONTE S.CALOGERO,20
29,452,2,,Edificio,IMPIANTO SPORTIVO,PALESTRA,VIA MONTE S.CALOGERO,20
29,753,4,1 23,Unità non abitativa,SCUOLA,INFANZIA,VIA MONTI IBLEI,49
29,1351,1,107,Unità non abitativa,LOCALE,BOX,VIA MONTE S.CALOGERO,03/07/2026
29,1968,1,,Terreno,VERDE,VERDE PUBBLICO,VIA TRABUCCO,
29,1969,1,,Terreno,VERDE,VERDE PUBBLICO,VIA TRABUCCO,
29,1970,1,,Terreno,VERDE,VERDE PUBBLICO,VIA TRABUCCO,
29,1972,1,,Terreno,VERDE,VERDE PUBBLICO,VIA TRABUCCO,
29,1973,1,,Terreno,VERDE,VERDE PUBBLICO,VIA TRABUCCO,
29,1982,1,,Terreno,PARCHEGGIO,PARCHEGGIO COMUNALE,VIA BELGIO,
29,1988,1,,Terreno,PARCHEGGIO,PARCHEGGIO COMUNALE,VIALE FRANCIA,
29,1989,1,,Terreno,PARCHEGGIO,PARCHEGGIO COMUNALE,VIALE FRANCIA,
29,1991,1,,Terreno,PARCHEGGIO,PARCHEGGIO COMUNALE,VIALE FRANCIA,
30,491/A,1,,Terreno,VERDE,VERDE PUBBLICO,VIALE DE GASPERI ALCIDE,
30,356,1,,Terreno,VERDE,VERDE PUBBLICO,PIAZZA LEONI,
30,464,1,,Edificio,SCUOLA,ELEMENTARE,LARGO TRINACRIA,1
30,474,1,,Edificio,SCUOLA,ELEMENTARE,LARGO TRINACRIA,1
30,574,2,,Unità abitativa,ABITAZIONE DI SERVIZIO,ALLOGGIO CUSTODE,VIA ABRUZZI,2
30,2147,1,89,Edificio,SCUOLA,MEDIA,VIALE CROCE ROSSA,113
30,2153,1,36,Edificio,SCUOLA,MEDIA,VIALE CROCE ROSSA,113
30,2221,1,1,Edificio,SCUOLA,MEDIA,VIALE CROCE ROSSA,113
31,660,1,8,Unità abitativa,EDILIZIA RESIDENZIALE,ALLOGGIO (E.R.),PIAZZA LEONI,76
32,320,1,,Edificio,SCUOLA,ASILO NIDO,VIA TOSELLI PIETRO MAGG.,85A
33,0,1,,Edificio,ARREDO URBANO,CHIOSCO,PIAZZA GENTILI ALBERICO,5
34,756,9,1 6,Unità abitativa,EDILIZIA RESIDENZIALE PUBBLICA,ALLOGGIO (E.R.P.),VIA DON GIOVANNI MINZONI,5
34,757,3,1 3 9,Unità abitativa,EDILIZIA RESIDENZIALE PUBBLICA,ALLOGGIO (E.R.P.),VIA DON GIOVANNI MINZONI,5
34,1086,5,3 4 7 13 19,Unità abitativa,EDILIZIA RESIDENZIALE PUBBLICA,ALLOGGIO (E.R.P.),VIA DON GIOVANNI MINZONI,2
35,639,1,,Terreno,AREA,AREA LIBERA,VIA MONTALBO,
35,1622,3,21 2 1,Unità abitativa,EDILIZIA RESIDENZIALE,ALLOGGIO (E.R.),VIA PERSANO AMMIRAGLIO,44
35,1821,1,17,Unità abitativa,EDILIZIA RESIDENZIALE,ALLOGGIO (E.R.),VIA PERSANO AMMIRAGLIO,24
35,2110,1,40,Unità abitativa,EDILIZIA RESIDENZIALE,ALLOGGIO (E.R.),PASSAGGIO VENTURINI FERNANDA8,
35,2374,2,7 11,Unità abitativa,EDILIZIA RESIDENZIALE PUBBLICA,ALLOGGIO (E.R.P.),VIA JUVARA ALOISIO,103
37,2413,1,3,Unità non abitativa,EDILIZIA RESIDENZIALE,MAGAZZINO (E.R.),VIA AIROLDI CESARE,45-47-51
38,32,1,,Edificio,IMPIANTO SPORTIVO,CAMPO CALCETTO,LARGO GIBILMANNA,8
38,53,1,,Edificio,IMPIANTO SPORTIVO,CAMPO CALCETTO,LARGO GIBILMANNA,8
38,152,1,,Terreno,COMMERCIALE,CENTRO COMMERCIALEVIA TORRE INGASTONE,,
38,277,1,,Edificio,IMPIANTO SPORTIVO,PALAZZETTO DELLO SPORT,VIALE LEONARDO DA VINCI,635
38,316,4,2 4 6 7,Unità abitativa,EDILIZIA RESIDENZIALE PUBBLICA,ALLOGGIO (E.R.P.),VIA PARRINI,16
38,317,2,15 19,Unità abitativa,EDILIZIA RESIDENZIALE PUBBLICA,ALLOGGIO (E.R.P.),VIA PARRINI,16
38,319,1,12,Unità abitativa,EDILIZIA RESIDENZIALE PUBBLICA,ALLOGGIO (E.R.P.),VIA PARRINI,16
38,432,2,,Edificio,IMPIANTO SPORTIVO,PALAZZETTO DELLO SPORT,VIALE LEONARDO DA VINCI,635
38,467,1,39,Edificio,SCUOLA,MATERNA,VIA CASTELLANA,85
38,799,1,,Edificio,SCUOLA,MEDIA,VIA BRUNETTO FILIPPO,
38,1759,12,1 4 5 6 7 11 12 14 16 20 21 23,Unità abitativa,EDILIZIA RESIDENZIALE PUBBLICA,ALLOGGIO (E.R.P.),VIA ERICE,17
38,1760,15,1 3 35 15 16 17 18 19 22 25 27 29 30 31 32,Unità abitativa,EDILIZIA RESIDENZIALE PUBBLICA,ALLOGGIO (E.R.P.),VIA ERICE,25
38,2296,27,2 3 4 5 6 8 9 10 11 12 13 14 15 16 17 18 19 20 21 23 24 25 26 27 28 29 30,Unità abitativa,EDILIZIA RESIDENZIALE PUBBLICA,ALLOGGIO (E.R.P.),LARGO DELLE PETRALIE,1
38,2389,4,4 8 1 2,Unità abitativa,EDILIZIA RESIDENZIALE PUBBLICA,ALLOGGIO (E.R.P.),LARGO CALTABELLOTTA,6
38,2390,11,1 6 7 10 42 15 16 17 23 35 36,Unità abitativa,EDILIZIA RESIDENZIALE PUBBLICA,ALLOGGIO (E.R.P.),LARGO NICOSIA,1
38,2391,6,1 5 7 8 10 12,Unità abitativa,EDILIZIA RESIDENZIALE PUBBLICA,ALLOGGIO (E.R.P.),LARGO NICOSIA,5
38,3357,3,3 15 20,Unità abitativa,EDILIZIA RESIDENZIALE PUBBLICA,ALLOGGIO (E.R.P.),VIA SCAGLIONE PIETRO,131
38,3358,4,3 17 29 22,Unità abitativa,EDILIZIA RESIDENZIALE PUBBLICA,ALLOGGIO (E.R.P.),VIA SCAGLIONE PIETRO,131
38,4328,19,1 4 6 5 10 12 11 14 13 16 15 18 17 20 19 22 21 24 23,Unità abitativa,EDILIZIA RESIDENZIALE PUBBLICA,ALLOGGIO (E.R.P.),VIA DELL'AQUILA PIETRO,7
38,4330,1,,Unità abitativa,EDILIZIA RESIDENZIALE PUBBLICA,ALLOGGIO (E.R.P.),VIA DELL'AQUILA PIETRO,7
38,4331,1,,Unità abitativa,EDILIZIA RESIDENZIALE PUBBLICA,ALLOGGIO (E.R.P.),VIA DELL'AQUILA PIETRO,7
38,4332,1,,Unità abitativa,EDILIZIA RESIDENZIALE PUBBLICA,ALLOGGIO (E.R.P.),VIA DELL'AQUILA PIETRO,5
38,4333,1,,Unità abitativa,EDILIZIA RESIDENZIALE PUBBLICA,ALLOGGIO (E.R.P.),VIA DELL'AQUILA PIETRO,5
38,4336,1,,Unità abitativa,EDILIZIA RESIDENZIALE PUBBLICA,ALLOGGIO (E.R.P.),VIA DELL'AQUILA PIETRO,3
38,4337,1,,Unità abitativa,EDILIZIA RESIDENZIALE PUBBLICA,ALLOGGIO (E.R.P.),VIA DELL'AQUILA PIETRO,3
38,4338,1,,Unità abitativa,EDILIZIA RESIDENZIALE PUBBLICA,ALLOGGIO (E.R.P.),VIA DELL'AQUILA PIETRO,3
38,4340,1,,Unità abitativa,EDILIZIA RESIDENZIALE PUBBLICA,ALLOGGIO (E.R.P.),VIA DELL'AQUILA PIETRO,1
38,4342,18,2 1 3 6 25 7 10 11 13 18 17 20 19 22 21 24 23 14,Unità abitativa,EDILIZIA RESIDENZIALE PUBBLICA,ALLOGGIO (E.R.P.),VIA ALIBRANDI GIROLAMO,15
38,4396,14,2 4 6 10 9 12 14 17 18 20 19 22 21 23,Unità abitativa,EDILIZIA RESIDENZIALE PUBBLICA,ALLOGGIO (E.R.P.),VIA CARRECA ANDREA,5
38,4398,1,,Unità abitativa,EDILIZIA RESIDENZIALE PUBBLICA,ALLOGGIO (E.R.P.),VIA CARRECA ANDREA,5
38,4399,1,,Unità abitativa,EDILIZIA RESIDENZIALE PUBBLICA,ALLOGGIO (E.R.P.),VIA CARRECA ANDREA,5
38,4400,1,,Unità abitativa,EDILIZIA RESIDENZIALE PUBBLICA,ALLOGGIO (E.R.P.),VIA CARRECA ANDREA,3
38,4401,1,,Unità abitativa,EDILIZIA RESIDENZIALE PUBBLICA,ALLOGGIO (E.R.P.),VIA CARRECA ANDREA,3
38,4403,1,,Unità abitativa,EDILIZIA RESIDENZIALE PUBBLICA,ALLOGGIO (E.R.P.),VIA CARRECA ANDREA,1
38,4404,1,,Unità abitativa,EDILIZIA RESIDENZIALE PUBBLICA,ALLOGGIO (E.R.P.),VIA CARRECA ANDREA,1
38,4405,26,1 2 4 3 6 5 8 7 10 9 12 11 14 13 15 16 18 17 20 22 21 24 23 26 25 27,Unità abitativa,EDILIZIA RESIDENZIALE PUBBLICA,ALLOGGIO (E.R.P.),VIA CARRECA ANDREA,2
38,4406,1,,Unità abitativa,EDILIZIA RESIDENZIALE PUBBLICA,ALLOGGIO (E.R.P.),VIA CARRECA ANDREA,4
38,4407,1,,Unità abitativa,EDILIZIA RESIDENZIALE PUBBLICA,ALLOGGIO (E.R.P.),VIA CARRECA ANDREA,4
38,4408,1,,Unità abitativa,EDILIZIA RESIDENZIALE PUBBLICA,ALLOGGIO (E.R.P.),VIA CARRECA ANDREA,2
38,4409,1,,Unità abitativa,EDILIZIA RESIDENZIALE PUBBLICA,ALLOGGIO (E.R.P.),VIA CARRECA ANDREA,2
38,4410,1,,Unità abitativa,EDILIZIA RESIDENZIALE PUBBLICA,ALLOGGIO (E.R.P.),VIA CARRECA ANDREA,2
38,4411,1,,Unità abitativa,EDILIZIA RESIDENZIALE PUBBLICA,ALLOGGIO (E.R.P.),VIA CARRECA ANDREA,3
38,4412,1,,Unità abitativa,EDILIZIA RESIDENZIALE PUBBLICA,ALLOGGIO (E.R.P.),VIA CARRECA ANDREA,3
38,4413,1,,Unità abitativa,EDILIZIA RESIDENZIALE PUBBLICA,ALLOGGIO (E.R.P.),VIA CARRECA ANDREA,4
38,4415,1,,Unità abitativa,EDILIZIA RESIDENZIALE PUBBLICA,ALLOGGIO (E.R.P.),VIALE MICHELANGELO,1943
38,4416,1,,Unità abitativa,EDILIZIA RESIDENZIALE PUBBLICA,ALLOGGIO (E.R.P.),VIALE MICHELANGELO,1943
38,4417,1,,Unità abitativa,EDILIZIA RESIDENZIALE PUBBLICA,ALLOGGIO (E.R.P.),VIALE MICHELANGELO,1943
38,4420,1,,Unità abitativa,EDILIZIA RESIDENZIALE PUBBLICA,ALLOGGIO (E.R.P.),VIALE MICHELANGELO,1959
38,4421,13,2 3 4 5 6 7 8 9 10 13 14 15 17,Unità abitativa,EDILIZIA RESIDENZIALE PUBBLICA,ALLOGGIO (E.R.P.),VIALE MICHELANGELO,2015
38,4422,1,,Unità abitativa,EDILIZIA RESIDENZIALE PUBBLICA,ALLOGGIO (E.R.P.),VIALE MICHELANGELO,1991
38,4423,1,,Unità abitativa,EDILIZIA RESIDENZIALE PUBBLICA,ALLOGGIO (E.R.P.),VIALE MICHELANGELO,1991
38,4424,1,,Unità abitativa,EDILIZIA RESIDENZIALE PUBBLICA,ALLOGGIO (E.R.P.),VIALE MICHELANGELO,1991
